Book 01 - Sunblade Rising - A Blade Forged in Light | PageBreaks: 23 | Likely blank pages: 0
Book 02 - The Mirror Siege - Reflections of Betrayal | PageBreaks: 23 | Likely blank pages: 0
Book 03 - Ash Oaths - Bonds Written in Blood | PageBreaks: 23 | Likely blank pages: 0
Book 04 - The Starless Crown - The Darkness Unveiled | PageBreaks: 23 | Likely blank pages: 0
Book 05 - The Serpents Gambit - A Spy Among Shadows | PageBreaks: 23 | Likely blank pages: 0
Book 06 - Rain of Obsidian - Tides of Dark Magic | PageBreaks: 23 | Likely blank pages: 0
Book 07 - Feathers and Bone - Wings of Defiance | PageBreaks: 23 | Likely blank pages: 0
Book 08 - The Shattered Blade - Forged Through Fire | PageBreaks: 23 | Likely blank pages: 0
Book 09 - The Forge of Souls - The Price of Power | PageBreaks: 23 | Likely blank pages: 0
Book 10 - The Mirror Queen - Realm of Shattered Glass | PageBreaks: 23 | Likely blank pages: 0
Book 11 - Crown of Stars - The Final Siege | PageBreaks: 23 | Likely blank pages: 0
Book 12 - The Sun That Never Sets - Dawn of a New World | PageBreaks: 23 | Likely blank pages: 0
DONE
