Book 01 - Sunblade Rising - A Blade Forged in Light | 24 chapters | 42165 words
Book 02 - The Mirror Siege - Reflections of Betrayal | 24 chapters | 43448 words
Book 03 - Ash Oaths - Bonds Written in Blood | 24 chapters | 54320 words
Book 04 - The Starless Crown - The Darkness Unveiled | 24 chapters | 43160 words
Book 05 - The Serpents Gambit - A Spy Among Shadows | 24 chapters | 37700 words
Book 06 - Rain of Obsidian - Tides of Dark Magic | 24 chapters | 34209 words
Book 07 - Feathers and Bone - Wings of Defiance | 24 chapters | 34853 words
Book 08 - The Shattered Blade - Forged Through Fire | 24 chapters | 30834 words
Book 09 - The Forge of Souls - The Price of Power | 24 chapters | 29763 words
Book 10 - The Mirror Queen - Realm of Shattered Glass | 24 chapters | 30230 words
Book 11 - Crown of Stars - The Final Siege | 24 chapters | 31737 words
Book 12 - The Sun That Never Sets - Dawn of a New World | 24 chapters | 31393 words
word-docs | 0 chapters | 0 words
